id,name
36,Arbuz
37,Awokado
38,Banan
39,Brokuły
40,Brukselka
41,Brzoskwinia
42,Bułka grahamka
43,Burak
44,Cebula
45,Chleb wieloziarnisty
46,Chrzan
47,Cukier
48,Cukinia
49,Cytryna
50,Czarne jagody
51,Czereśnie
52,Czosnek
53,Dorsz
54,Dynia
55,Dżem z owoców
56,Fasola biała
57,Fasola czerwona
58,Fasola szparagowa
59,Flądra
60,Grejpfrut
61,Groszek zielony
62,Gruszka
63,Jabłko
64,Jaja kurze
65,Jarmuż
66,Jogurt bananowy
67,Jogurt jagodowy
68,Jogurt morelowy
69,Jogurt naturalny
70,Jogurt truskawkowy
71,Jogurt wiśniowy
72,Kalafior
73,Kalarepa
74,Kapusta biała
75,Kapusta czerwona
76,Kasza jaglana
77,Kasza jęczmienna
78,Kefir
79,Kiwi
80,Koncentrat pomidorowy
81,Koper ogrodowy
82,Kukurydza
83,Łosoś
84,Makaron
85,Makrela
86,Maliny
87,Mandarynki
88,Mango
89,Marchew
90,Mąka pszenna
91,Mąka żytnia
92,Melon
93,Mięso wieprzowe
94,Mięso wołowe
95,Mięso z indyka
96,Mięso z kurczaka
97,Miód pszczeli
98,Mleko roślinne
99,Mleko spożywcze
100,Morele
101,Nektarynka
102,Ogórek
103,Ogórek kiszony
104,Olej rzepakowy
105,Olej słonecznikowy
106,Papryka czerwona
107,Papryka zielona
108,Parówki
"109,""Pietruszka, korzeń"""
"110,""Pietruszka, liście"""
111,Płatki kukurydziane
112,Płatki owsiane
113,Pomarańcza
114,Pomidor
115,Por
116,Porzeczki
117,Pstrąg
118,Ryż biały
119,Ryż brązowy
120,Rzodkiewka
121,Sałata
122,Seler korzeniowy
123,Seler naciowy
124,Ser pleśniowy
125,Ser twarogowy
126,Ser żółty
127,Serek twarogowy homogenizowany
128,Soczewica czerwona
129,Sos keczup
130,Sól
131,Szczypiorek
"132,""Szparagi, konserwowe"""
133,Szpinak
134,Szynka wieprzowa
135,Szynka z indyka
136,Szynka z kurczaka
137,Śliwki
"138,""Śmietana, 12% tłuszczu"""
"139,""Śmietana, 18% tłuszczu"""
140,Śmietanka kremowa 30% tłuszczu
141,Tuńczyk
142,Winogrona
143,Wiśnie
144,Ziemniaki
145,Kapusta pekińska
146,Masło
147,Kiełbaski wieprzowe
148,Groch łuskany
149,Płatki orkiszowe
150,Chleb zwykły (pszenno-żytni)
151,Kiełki
152,Cukier puder
153,Truskawki mrożone
154,Por
155,Papryka żółta
156,Mandarynka
157,Wafle ryżowe
158,Chałka
159,Pieczarki
160,Kasza gryczana
161,Płatki jęczmienne
162,Wafle kukurydziane
163,Sok jabłkowy
164,Sandacz
